ILE 0.186018 0.195493 0.182493 0.167604 0.167268 0.161452 0.168234 0.164941 0.169294 0.166503 0.170496 0.171717 0.171830 0.170278 0.167975 0.169834 0.170376 0.168778 0.167319 0.167259
GLN 0.000256 0.012775 0.031997 0.031477 0.008588 0.003964 0.012655 0.020835 0.013432 0.006822 0.008398 0.016166 0.013130 0.010988 0.009201 0.010303 0.013519 0.013288 0.011215 0.009149
GLY 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
GLU 0.016089 0.015425 0.015265 0.025115 0.040588 0.046522 0.043604 0.038702 0.037241 0.041155 0.044195 0.043870 0.041498 0.042285 0.043823 0.040667 0.040961 0.041701 0.045148 0.041419
CYS 0.049864 0.060432 0.055374 0.053580 0.071464 0.075582 0.072840 0.072356 0.078357 0.085543 0.080338 0.074767 0.076699 0.080311 0.083013 0.080271 0.076748 0.080027 0.079941 0.077677
ASP 0.012626 0.011623 0.013425 0.017741 0.033864 0.039625 0.040352 0.026079 0.029341 0.033532 0.033593 0.033433 0.030067 0.033040 0.033904 0.031996 0.031207 0.032090 0.033461 0.033128
SER 0.022852 0.035219 0.056858 0.063725 0.039307 0.034115 0.054083 0.066892 0.056172 0.042523 0.047492 0.058800 0.057315 0.050799 0.047410 0.052118 0.056665 0.053596 0.050931 0.051478
LYS 0.029484 0.008280 0.013299 0.025831 0.058878 0.049934 0.034897 0.028727 0.035034 0.040304 0.038159 0.032181 0.034059 0.036120 0.037051 0.034763 0.034890 0.036322 0.035071 0.035513
PRO 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
HID 0.000283 0.002877 0.004930 0.004354 0.001561 0.001135 0.002060 0.003706 0.002738 0.001634 0.001481 0.001828 0.002246 0.002214 0.002188 0.002321 0.002032 0.001953 0.001939 0.002129
HIE 0.000149 0.002509 0.003789 0.003633 0.001664 0.001260 0.001990 0.003272 0.002762 0.001770 0.001431 0.001672 0.002161 0.002232 0.001876 0.002059 0.001948 0.001826 0.002002 0.001987
ASN 0.001523 0.017492 0.042981 0.061889 0.024210 0.012168 0.034770 0.058623 0.037995 0.021094 0.021432 0.042314 0.039015 0.030718 0.025543 0.027285 0.036015 0.036837 0.029176 0.030006
HIP 0.000288 0.009438 0.013245 0.009445 0.005188 0.003042 0.006821 0.008725 0.007939 0.006563 0.005573 0.006666 0.006276 0.007626 0.006869 0.006736 0.006547 0.006156 0.007138 0.006941
VAL 0.192215 0.185234 0.176680 0.156066 0.153131 0.145176 0.140330 0.138010 0.140104 0.144244 0.147356 0.141971 0.144644 0.146257 0.142072 0.144356 0.147536 0.142351 0.144010 0.150012
THR 0.001944 0.002550 0.002575 0.003580 0.006180 0.008041 0.008877 0.008664 0.009862 0.010457 0.009581 0.007929 0.009186 0.009505 0.009465 0.008575 0.008635 0.009134 0.009950 0.008572
TRP 0.022824 0.021913 0.015756 0.013816 0.017966 0.026201 0.021119 0.017146 0.018237 0.019870 0.019947 0.018642 0.019169 0.018277 0.018217 0.020814 0.017109 0.017908 0.019240 0.018322
PHE 0.045879 0.033028 0.020250 0.016457 0.025183 0.031801 0.027803 0.022414 0.022370 0.025123 0.027004 0.024989 0.024607 0.024325 0.025170 0.025925 0.025982 0.026099 0.025405 0.026707
ALA 0.085276 0.078861 0.066481 0.064044 0.072135 0.074032 0.065217 0.061492 0.067735 0.074351 0.071298 0.064270 0.066571 0.068813 0.071848 0.070157 0.065429 0.067643 0.069725 0.069296
MET 0.123824 0.043978 0.005394 0.004967 0.029762 0.055440 0.021828 0.007588 0.014504 0.032895 0.029631 0.015034 0.013077 0.019573 0.027123 0.021118 0.016021 0.015224 0.023035 0.025217
LEU 0.205432 0.224045 0.217320 0.206595 0.196307 0.187255 0.189264 0.189689 0.192943 0.192836 0.192840 0.191085 0.194290 0.192662 0.195798 0.195691 0.193853 0.195175 0.195276 0.192986
ARG 0.000977 0.021206 0.022611 0.022111 0.014786 0.022624 0.031644 0.033094 0.032372 0.024471 0.023649 0.027505 0.026106 0.025801 0.024019 0.028719 0.026213 0.025559 0.024303 0.024272
TYR 0.002196 0.017620 0.039278 0.047969 0.031971 0.020629 0.021613 0.029046 0.031568 0.028311 0.026108 0.025160 0.028054 0.028177 0.027434 0.026293 0.028314 0.028333 0.025713 0.027931
