WF 0.068703 0.054942 0.036007 0.030273 0.043149 0.058002 0.048922 0.039559 0.040607 0.044992 0.046950 0.043631 0.043777 0.042602 0.043388 0.046739 0.043090 0.044007 0.044645 0.045029
IVL 0.583665 0.604773 0.576493 0.530265 0.516705 0.493883 0.497828 0.492640 0.502341 0.503583 0.510693 0.504773 0.510764 0.509197 0.505845 0.509880 0.511765 0.506304 0.506605 0.510257
ED 0.028715 0.027048 0.028690 0.042857 0.074452 0.086147 0.083955 0.064780 0.066582 0.074687 0.077787 0.077303 0.071565 0.075325 0.077727 0.072663 0.072167 0.073790 0.078609 0.074547
K 0.029484 0.008280 0.013299 0.025831 0.058878 0.049934 0.034897 0.028727 0.035034 0.040304 0.038159 0.032181 0.034059 0.036120 0.037051 0.034763 0.034890 0.036322 0.035071 0.035513
M 0.123824 0.043978 0.005394 0.004967 0.029762 0.055440 0.021828 0.007588 0.014504 0.032895 0.029631 0.015034 0.013077 0.019573 0.027123 0.021118 0.016021 0.015224 0.023035 0.025217
NQ 0.001779 0.030267 0.074977 0.093366 0.032798 0.016131 0.047424 0.079458 0.051426 0.027915 0.029830 0.058480 0.052145 0.041706 0.034744 0.037588 0.049535 0.050125 0.040391 0.039155
S 0.022852 0.035219 0.056858 0.063725 0.039307 0.034115 0.054083 0.066892 0.056172 0.042523 0.047492 0.058800 0.057315 0.050799 0.047410 0.052118 0.056665 0.053596 0.050931 0.051478
R 0.000977 0.021206 0.022611 0.022111 0.014786 0.022624 0.031644 0.033094 0.032372 0.024471 0.023649 0.027505 0.026106 0.025801 0.024019 0.028719 0.026213 0.025559 0.024303 0.024272
PG 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
ACT 0.137084 0.141843 0.124430 0.121204 0.149779 0.157656 0.146934 0.142512 0.155954 0.170352 0.161217 0.146966 0.152456 0.158628 0.164327 0.159002 0.150812 0.156805 0.159616 0.155546
Y 0.002196 0.017620 0.039278 0.047969 0.031971 0.020629 0.021613 0.029046 0.031568 0.028311 0.026108 0.025160 0.028054 0.028177 0.027434 0.026293 0.028314 0.028333 0.025713 0.027931
Hhj 0.000721 0.014825 0.021963 0.017432 0.008414 0.005437 0.010872 0.015703 0.013440 0.009966 0.008485 0.010166 0.010682 0.012072 0.010934 0.011116 0.010527 0.009936 0.011079 0.011056
