WF 0.000998 0.008454 0.065446 0.081994 0.017412 0.004884 0.019687 0.033626 0.021762 0.011125 0.012389 0.019944 0.022758 0.020334 0.014944 0.014559 0.018434 0.021054 0.019062 0.015480
IVL 0.646527 0.536519 0.177759 0.062967 0.175738 0.239669 0.220901 0.097393 0.088904 0.158079 0.207419 0.160264 0.110123 0.128405 0.174193 0.175553 0.136137 0.122605 0.152246 0.171654
ED 0.057344 0.059094 0.064103 0.073464 0.079297 0.101197 0.137523 0.197963 0.204151 0.176123 0.169546 0.180142 0.180795 0.176572 0.177043 0.188676 0.187246 0.183008 0.174458 0.180035
K 0.044560 0.037005 0.035399 0.047029 0.062594 0.080428 0.116468 0.137765 0.110941 0.086891 0.101519 0.133249 0.121135 0.101271 0.098519 0.116812 0.124867 0.113960 0.101381 0.108662
M 0.102594 0.036658 0.007100 0.008995 0.036868 0.026406 0.009283 0.006665 0.027743 0.024128 0.010418 0.008163 0.025643 0.023288 0.011446 0.009071 0.023404 0.020550 0.012845 0.010671
NQ 0.037962 0.049562 0.048845 0.065616 0.189752 0.267985 0.144492 0.075152 0.099013 0.183775 0.166092 0.114867 0.105225 0.146721 0.162518 0.133018 0.113306 0.133904 0.152779 0.138696
S 0.012792 0.039037 0.149497 0.407098 0.138069 0.027736 0.055979 0.177912 0.131405 0.049093 0.054157 0.120440 0.120315 0.074864 0.068682 0.094091 0.096774 0.083360 0.084458 0.090010
R 0.036446 0.034540 0.028223 0.034595 0.044490 0.064569 0.073497 0.090902 0.104879 0.106650 0.093243 0.075506 0.086795 0.099730 0.100347 0.089408 0.088059 0.092899 0.101774 0.094516
PG 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
ACT 0.049281 0.184254 0.393736 0.173760 0.166466 0.104515 0.144962 0.126460 0.152605 0.140405 0.118515 0.118024 0.160048 0.169222 0.128523 0.110918 0.145356 0.167536 0.139848 0.121136
Y 0.001859 0.001826 0.004458 0.012855 0.048983 0.011356 0.003807 0.013118 0.025179 0.011508 0.004828 0.013554 0.022827 0.012267 0.006298 0.012371 0.018857 0.012111 0.007856 0.012249
Hhj 0.009638 0.013050 0.025434 0.031627 0.040330 0.071255 0.073400 0.043044 0.033418 0.052222 0.061876 0.055846 0.044336 0.047327 0.057487 0.055525 0.047560 0.049013 0.053293 0.056890
