WF 0.057669 0.051351 0.039368 0.041832 0.042291 0.039717 0.040698 0.045152 0.046157 0.046951 0.048834 0.041847 0.043571 0.045980 0.046362 0.043872 0.042222 0.041252 0.045035 0.045015 0.047863 0.043766 0.040782 0.040174 0.045980 0.041182 0.041250 0.049390 0.049849 0.034827 0.045100 0.045851 0.047561 0.041846 0.046182 0.045269 0.048009 0.045759 0.041853 0.041481 0.047113 0.046172 0.045403 0.042905 0.047967 0.038533 0.041517
IVL 0.510939 0.527249 0.544408 0.556539 0.511766 0.523771 0.482899 0.504507 0.503486 0.501101 0.513759 0.520693 0.514368 0.512205 0.520236 0.519948 0.499995 0.484476 0.514606 0.508915 0.521623 0.494657 0.495773 0.496291 0.525446 0.539870 0.511211 0.517589 0.495489 0.466823 0.506881 0.491304 0.553379 0.507860 0.525428 0.490428 0.501220 0.503532 0.482737 0.513501 0.522691 0.523411 0.526388 0.519221 0.506317 0.506068 0.486472
ED 0.027023 0.036941 0.038623 0.049970 0.069698 0.077401 0.079145 0.073050 0.073006 0.072793 0.072748 0.068862 0.070208 0.089060 0.075945 0.073520 0.083212 0.067419 0.071339 0.069871 0.075571 0.073265 0.071100 0.080209 0.080017 0.074449 0.076053 0.076383 0.076971 0.080119 0.064584 0.078264 0.069676 0.081845 0.064303 0.074986 0.071021 0.077881 0.079534 0.072012 0.081391 0.071368 0.070597 0.073037 0.075056 0.071741 0.074045
K 0.037147 0.026667 0.023514 0.021663 0.036547 0.031182 0.041928 0.038497 0.034257 0.039642 0.043016 0.028732 0.027678 0.038615 0.039500 0.037064 0.034792 0.041164 0.032035 0.032028 0.029759 0.041368 0.042213 0.036798 0.036544 0.027974 0.031735 0.035921 0.036812 0.040889 0.033119 0.038295 0.032659 0.037786 0.029514 0.033430 0.042823 0.035515 0.036797 0.041315 0.032087 0.034454 0.029716 0.035031 0.036220 0.037233 0.035228
M 0.146656 0.058969 0.020543 0.005723 0.010828 0.021200 0.033585 0.022685 0.023160 0.015308 0.017405 0.015860 0.020287 0.020875 0.013800 0.027509 0.018898 0.023617 0.016113 0.019629 0.020249 0.020091 0.012293 0.025774 0.023219 0.022261 0.015825 0.014985 0.017603 0.028628 0.020023 0.020456 0.014437 0.019842 0.019198 0.024630 0.019637 0.015994 0.020825 0.017958 0.016978 0.021257 0.022348 0.022120 0.015328 0.019371 0.023028
NQ 0.009507 0.028873 0.046023 0.045335 0.038562 0.032808 0.044301 0.051184 0.046256 0.041172 0.035125 0.041069 0.056619 0.035200 0.041463 0.041424 0.035484 0.054716 0.042247 0.042489 0.041730 0.042752 0.043109 0.047721 0.038627 0.039578 0.041818 0.043473 0.040784 0.053071 0.042043 0.048092 0.032361 0.039810 0.043194 0.048322 0.035965 0.047598 0.048593 0.037180 0.045734 0.038291 0.042424 0.035597 0.040388 0.057397 0.049665
S 0.051326 0.060141 0.055444 0.040902 0.060071 0.064815 0.059155 0.047603 0.047944 0.043715 0.066635 0.057437 0.046832 0.043135 0.048743 0.052041 0.058196 0.054278 0.050625 0.046368 0.059575 0.063566 0.057169 0.048097 0.044631 0.047321 0.059689 0.040708 0.063085 0.065306 0.055068 0.048078 0.039155 0.058633 0.056085 0.057717 0.049771 0.053013 0.057294 0.048256 0.045378 0.052866 0.045465 0.047118 0.063126 0.058524 0.062959
R 0.004239 0.010171 0.021338 0.031304 0.024222 0.022797 0.021861 0.025444 0.027796 0.030540 0.021237 0.030844 0.030303 0.024215 0.024219 0.020863 0.026496 0.027261 0.032888 0.023810 0.027344 0.019026 0.027695 0.027646 0.024673 0.027579 0.022939 0.025137 0.026145 0.021452 0.030952 0.030100 0.026818 0.020477 0.027192 0.023052 0.030984 0.030874 0.025120 0.022586 0.023853 0.028276 0.032190 0.025750 0.023720 0.026949 0.021162
PG 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
ACT 0.143161 0.176196 0.176150 0.166457 0.156498 0.146988 0.159306 0.160255 0.159746 0.166484 0.142757 0.147085 0.154323 0.157822 0.156179 0.150770 0.152796 0.164056 0.160512 0.165549 0.144583 0.158366 0.165007 0.161568 0.144729 0.149216 0.152337 0.159172 0.153213 0.162293 0.164816 0.168640 0.150796 0.150014 0.150091 0.158000 0.162441 0.157575 0.163964 0.164536 0.148089 0.151116 0.150625 0.157825 0.150859 0.148489 0.168663
