ILE 0.179421 0.191515 0.195133 0.168675 0.170802 0.196724 0.180131 0.174923 0.178483 0.183290 0.181721 0.172330 0.180043 0.187493 0.185562 0.171595 0.176007 0.178066 0.177297 0.184228 0.172199 0.175901 0.178208 0.183657 0.177826 0.172022 0.180862 0.154006 0.188773 0.193660 0.184577 0.181021 0.190200 0.179445 0.175108 0.179529 0.177776 0.175068 0.172745 0.176500 0.185566 0.172190 0.176508 0.167195 0.177958 0.182317 0.195350
GLN 0.003252 0.007717 0.020511 0.027975 0.018048 0.005678 0.012423 0.020389 0.023026 0.012630 0.011028 0.012772 0.015055 0.019289 0.012084 0.006852 0.012368 0.015967 0.018718 0.012235 0.015462 0.012464 0.011338 0.018829 0.015431 0.015396 0.020165 0.012237 0.008575 0.014580 0.017042 0.017033 0.017162 0.013157 0.016053 0.010061 0.017240 0.020502 0.012597 0.018279 0.017536 0.010905 0.014683 0.014521 0.020410 0.014465 0.012076
GLY 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
GLU 0.016372 0.022292 0.017861 0.016303 0.040972 0.058581 0.064824 0.051596 0.035766 0.038839 0.052318 0.052745 0.046317 0.043422 0.047458 0.047080 0.038667 0.045332 0.045702 0.048774 0.040794 0.047661 0.043586 0.041733 0.041823 0.041192 0.051558 0.044893 0.043062 0.046661 0.048111 0.040027 0.042417 0.048773 0.049233 0.041634 0.058516 0.040585 0.048301 0.039715 0.045254 0.043007 0.050488 0.048450 0.040279 0.047868 0.047239
CYS 0.077066 0.081334 0.096311 0.097608 0.076473 0.082026 0.075469 0.085230 0.109435 0.103328 0.095289 0.094778 0.086846 0.082505 0.104516 0.092136 0.090806 0.085864 0.095839 0.076226 0.097122 0.091664 0.090370 0.086303 0.093787 0.102267 0.098425 0.108124 0.085124 0.084371 0.081966 0.089778 0.096911 0.096522 0.089937 0.094253 0.084266 0.092939 0.112058 0.087492 0.085440 0.089296 0.097632 0.097894 0.106840 0.081807 0.091199
ASP 0.010826 0.014414 0.013544 0.011435 0.038549 0.039085 0.042038 0.029986 0.020856 0.022059 0.027715 0.029130 0.025801 0.032771 0.029007 0.032445 0.028886 0.029221 0.019750 0.029799 0.040108 0.032737 0.034780 0.023682 0.028773 0.032595 0.025609 0.035707 0.033625 0.028024 0.022660 0.032003 0.027041 0.024549 0.031866 0.025995 0.033624 0.031508 0.028794 0.024290 0.025292 0.034159 0.022681 0.028006 0.029019 0.034486 0.030417
SER 0.047561 0.064466 0.049937 0.051350 0.047973 0.038717 0.048166 0.049285 0.058553 0.057923 0.037308 0.059948 0.050305 0.060323 0.044863 0.049496 0.054375 0.057954 0.060432 0.051913 0.046452 0.042686 0.048397 0.057452 0.058924 0.061489 0.058751 0.044251 0.052975 0.048225 0.053615 0.050340 0.046520 0.054731 0.048857 0.049442 0.064485 0.042986 0.055748 0.052625 0.046979 0.065167 0.053842 0.049132 0.049218 0.058664 0.051320
LYS 0.034518 0.017896 0.013417 0.028086 0.054171 0.049175 0.034130 0.028327 0.038705 0.030846 0.043092 0.035480 0.037803 0.029773 0.037644 0.036466 0.032240 0.029151 0.037496 0.041338 0.036391 0.035775 0.034942 0.030312 0.044956 0.030866 0.035555 0.038643 0.040934 0.034359 0.028144 0.033835 0.040331 0.044393 0.038260 0.029367 0.028004 0.033554 0.042315 0.048452 0.032566 0.025884 0.031522 0.042179 0.042836 0.038300 0.041447
PRO 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
HID 0.000840 0.000399 0.002011 0.004261 0.006052 0.000189 0.002762 0.004489 0.002436 0.000392 0.002383 0.004749 0.002996 0.002669 0.000312 0.000096 0.001663 0.004027 0.003591 0.001736 0.003820 0.002847 0.002186 0.002887 0.003742 0.003579 0.005138 0.002578 0.002912 0.000951 0.002774 0.004961 0.001848 0.000768 0.002194 0.001915 0.006184 0.001979 0.001702 0.001161 0.001880 0.003382 0.001173 0.004961 0.002823 0.005688 0.000968
