# algo position delta_E Best_algo
H 0 0 toulbar2
MC 0 0      toulbar2
MC 0 0      toulbar2
MC 0 0.0121 toulbar2
MC 0 0      toulbar2
MC 0 0      toulbar2
MC 0 0      toulbar2
MC 0 0.1250 toulbar2
MC 0 0      toulbar2
MC 0 0      toulbar2
H 1 0 toulbar2
MC 1 -0.0405 toulbar2
MC 1 -0.0111 toulbar2
MC 1 -0.0012 toulbar2
MC 1 -0.0140 toulbar2
MC 1 -0.0347 toulbar2
MC 1 -0.0348 toulbar2
MC 1 -0.0247 toulbar2
MC 1 -0.0248 toulbar2
MC 1 -0.0406 toulbar2
MC 1 -0.0248 toulbar2
MC 1 -0.0248 toulbar2
MC 1 -0.0248 toulbar2
MC 1 -0.0248 toulbar2
MC 1 -0.0040 toulbar2
MC 1 -0.0121 toulbar2
MC 1 -0.0179 toulbar2
MC 1 -0.0121 toulbar2
MC 1 -0.0148 toulbar2
MC 1 -0.0149 toulbar2
MC 1 -0.0149 toulbar2
MC 1 -0.0148 toulbar2
MC 1 -0.0451 toulbar2
MC 1 -0.0121 toulbar2
MC 1 -0.0121 toulbar2
MC 1 -0.0121 toulbar2
MC 1 -0.0121 toulbar2
MC 1 -0.0270 toulbar2
MC 1 -0.0121 toulbar2
MC 1 -0.0121 toulbar2
MC 1 -0.0121 toulbar2
MC 1 -0.0121 toulbar2
MC 1 -0.0270 toulbar2
MC 1 -0.0317 toulbar2
MC 1 -0.0121 toulbar2
MC 1 -0.0121 toulbar2
MC 1 -0.0149 toulbar2
MC 1 -0.0121 toulbar2
MC 1 -0.0179 toulbar2
MC 1 -0.0121 toulbar2
MC 1 -0.0121 toulbar2
MC 1 -0.0121 toulbar2
MC 1 -0.0121 toulbar2
MC 1 -0.0121 toulbar2
MC 1 -0.0121 toulbar2
MC 1 -0.0179 toulbar2
MC 1 -0.0148 toulbar2
MC 1 -0.0121 toulbar2
MC 1 -0.0121 toulbar2
MC 1 -0.0121 toulbar2
MC 1 -0.0179 toulbar2
MC 1 -0.0466 toulbar2
MC 1 -0.0121 toulbar2
MC 1 -0.0121 toulbar2
MC 1 -0.0121 toulbar2
MC 1 -0.0121 toulbar2
MC 1 -0.0122 toulbar2
MC 1 -0.0148 toulbar2
MC 1 -0.0121 toulbar2
MC 1 -0.0009 toulbar2
MC 1 -0.0121 toulbar2
MC 1 -0.0121 toulbar2
MC 1 -0.0148 toulbar2
MC 1 -0.0251 toulbar2
MC 1 -0.0121 toulbar2
MC 1 -0.0109 toulbar2
MC 1 -0.0138 toulbar2
MC 1 -0.1380 toulbar2
MC 1 -0.1250 toulbar2
MC 1 -0.1250 toulbar2
MC 1 -0.0319 toulbar2
MC 1 -0.1071 toulbar2
MC 1 -0.1521 toulbar2
MC 1 -0.1429 toulbar2
MC 1 -0.1250 toulbar2
MC 1 -0.1728 toulbar2
MC 1 -0.2572 toulbar2
MC 1 -0.2489 toulbar2
MC 1 -0.1137 toulbar2
MC 1 -0.0535 toulbar2
MC 1 -0.1250 toulbar2
MC 1 -0.0436 toulbar2
MC 1 -0.1521 toulbar2
MC 1 -0.0557 toulbar2
MC 1 -0.1366 toulbar2
MC 1 -0.0348 toulbar2
MC 1 -0.1250 toulbar2
MC 1 -0.1600 toulbar2
MC 1 -0.1250 toulbar2
MC 1 -0.1530 toulbar2
MC 1 -0.0630 toulbar2
MC 1 -0.1250 toulbar2
MC 1 -0.1250 toulbar2
MC 1 -0.1194 toulbar2
MC 1 -0.1250 toulbar2
MC 1 -0.1571 toulbar2
MC 1 -0.0221 toulbar2
MC 1 -0.0530 toulbar2
MC 1 -0.1571 toulbar2
MC 1 -0.1234 toulbar2
MC 1 -0.1258 toulbar2
MC 1 -0.0378 toulbar2
MC 1 -0.0974 toulbar2
MC 1 -0.0941 toulbar2
MC 1 -0.2743 toulbar2
MC 1 -0.1890 toulbar2
MC 1 -0.0883 toulbar2
MC 1 -0.0409 toulbar2
MC 1 -0.1250 toulbar2
MC 1 -0.1315 toulbar2
MC 1 -0.0595 toulbar2
MC 1 -0.1712 toulbar2
MC 1 -0.2668 toulbar2
MC 1 -0.2773 toulbar2
MC 1 -0.2625 toulbar2
MC 1 -0.2120 toulbar2
MC 1 -0.0807 toulbar2
MC 1 -0.2986 toulbar2
MC 1 -0.2734 toulbar2
MC 1 -0.3012 toulbar2
MC 1 -0.3615 toulbar2
MC 1 -0.2007 toulbar2
MC 1 -0.2120 toulbar2
MC 1 -0.1250 toulbar2
MC 1 -0.0743 toulbar2
MC 1 -0.0378 toulbar2
MC 1 -0.1082 toulbar2
MC 1 -0.1272 toulbar2
MC 1 -0.0899 toulbar2 
MC 1 -0.0974 toulbar2
MC 1 -0.1014 toulbar2
MC 1 -0.1571 toulbar2
MC 1 -0.1533 toulbar2
MC 1 -0.0433 toulbar2
MC 1 -0.1541 toulbar2
MC 1 -0.1250 toulbar2
MC 1 -0.1066 toulbar2
MC 1 -0.1250 toulbar2
MC 1 -0.1311 toulbar2
MC 1 -0.1250 toulbar2
MC 1 -0.1169 toulbar2
MC 1 -0.0505 toulbar2
MC 1 -0.1521 toulbar2
MC 1 -0.0821 toulbar2
MC 1 -0.1380 toulbar2
MC 1 -0.0661 toulbar2
MC 1 -0.1229 toulbar2
MC 1 -0.0724 toulbar2
MC 1 -0.0513 toulbar2
MC 1 -0.0433 toulbar2
MC 1 -0.1154 toulbar2
MC 1 -0.0744 toulbar2
MC 1 -0.0857 toulbar2
MC 1 -0.1250 toulbar2
MC 1 -0.1084 toulbar2
MC 1 -0.0694 toulbar2
MC 1 -0.1838 toulbar2
MC 1 -0.0188 toulbar2
MC 1 -0.3392 toulbar2
MC 1 -0.2937 toulbar2
MC 1 -0.2723 toulbar2
MC 1 -0.2864 toulbar2
MC 1 -0.2013 toulbar2
MC 1 -0.2932 toulbar2
MC 1 -0.2120 toulbar2
MC 1 -0.2120 toulbar2
MC 1 -0.2572 toulbar2
MC 1 -0.1277 toulbar2
MC 1 -0.3581 toulbar2
MC 1 -0.0155 toulbar2 
MC 1 -0.0114 toulbar2
MC 1 -0.0092 toulbar2
MC 1 -0.0060 toulbar2
MC 1 -0.0155 toulbar2
MC 1 -0.0155 toulbar2
MC 1 -0.0155 toulbar2
MC 1 -0.0132 toulbar2
MC 1 -0.0254 toulbar2
MC 1 -0.0023 toulbar2
MC 1 -0.0948 toulbar2
MC 1 -0.0135 toulbar2
MC 1 -0.0100 toulbar2
MC 1 -0.0101 toulbar2
MC 1 -0.0097 toulbar2
MC 1 -0.0131 toulbar2
H 5 0 toulbar2
MC 5 0 toulbar2
MC 5 -5.3443 toulbar2
MC 5 -0.0121 toulbar2
MC 5 -0.0655 toulbar2
MC 5 -0.1437 toulbar2
MC 5 -0.1164 toulbar2
MC 5 -0.1400 toulbar2
MC 5 -0.1168 toulbar2
MC 5 -0.9421 toulbar2
MC 5 -0.0150 toulbar2
MC 5 -0.0131 toulbar2
H 10 0 toulbar2
H 10 -0.0675 toulbar2
H 10 -0.2859 toulbar2
H 10 -0.1366 toulbar2
H 10 -3.5105 toulbar2
MC 10 -0.1595 toulbar2
MC 10 -0.0317 toulbar2
MC 10 -0.0563 toulbar2
MC 10 -0.9054 toulbar2
MC 10 -0.0128 toulbar2
MC 10 -0.0950 toulbar2
MC 10 -0.1082 toulbar2
MC 10 -3.2525 toulbar2
MC 10 -3.9599 toulbar2
MC 10 -0.0776 toulbar2
MC 10 -4.5062 toulbar2
MC 10 -0.0432 toulbar2
MC 10 -0.1121 toulbar2
MC 10 -0.1046 toulbar2
MC 10 -0.1519 toulbar2
MC 10 -0.1545 toulbar2
MC 10 -0.1753 toulbar2
MC 10 -2.4022 toulbar2
MC 10 -1.0398 toulbar2
MC 10 -0.0106 toulbar2
MC 10 -0.0162 toulbar2
MC 10 -0.0337 H
MC 10 -0.0833 toulbar2
MC 10 -0.2149 toulbar2
RE 10 -0.3215 toulbar2
RE 10 -0.3986 toulbar2
H 20 -0.1705 toulbar2
H 20 0 	     toulbar2
H 20 -0.3568 toulbar2
H 20 -0.7658 toulbar2
H 20 -0.1205 toulbar2
H 20 0 	     toulbar2
H 20 -0.0230 toulbar2
H 20 -0.2396 toulbar2
MC 20 -0.3275 toulbar2
MC 20 -2.4355 toulbar2
MC 20 -0.4640 toulbar2
MC 20 -0.5128 toulbar2
MC 20 -0.5088 toulbar2
MC 20 -1.1159 toulbar2
MC 20 -0.0619 toulbar2
MC 20 -0.4763 toulbar2
MC 20 -0.3746 toulbar2
MC 20 -0.2521 toulbar2
MC 20 -0.3461 toulbar2
MC 20 -0.3640 toulbar2
MC 20 -0.2604 toulbar2
MC 20 -0.0071 toulbar2
MC 20 -0.0537 toulbar2
MC 20 -0.0537 toulbar2
MC 20 -0.0735 toulbar2
MC 20 -3.1878 toulbar2
MC 20 -0.0524 toulbar2
MC 20 -1.3564 toulbar2
MC 20 -0.1968 toulbar2
MC 20 -0.2775 MC
RE 20 -1.0069 toublar2
RE 20 -0.2153 toublar2
RE 20 -0.0257 toublar2
RE 20 -0.0826 toublar2
RE 20 -0.0789 H	
RE 20 -1.2525 H
MC 20 -0.0076 H
MC 20 -0.9483 H
MC 20 -0.0725 H
MC 20 -2.5883 H
MC 20 -1.2525 H
MC 20 -0.2487 H
MC 20 -0.2177 H
MC 20 -0.2275 H
MC 20 -0.1455 H
MC 20 -0.1963 H
MC 20 -0.1141 H
MC 20 -0.0933 H
H 30 0 H
H 30 -1.4509 RE
H 30 -0.0097 MC
MC 30  -0.6353 H
MC 30  -0.0578 H
MC 30  -0.3580 H
MC 30  -0.0305 H
MC 30  -1.9586 H
MC 30  -0.2630 H
MC 30  -0.7560 H
MC 30  -0.7528 H
MC 30  -1.1411 H
MC 30  -1.1411 H
MC 30  -1.5144 H
MC 30  -1.5942 H
MC 30  -0.3126 H
MC 30  -1.5667 H
MC 30  -1.4284 H
MC 30  -7.4604 H
MC 30  -1.8749 H
MC 30  -0.0154 H
MC 30  -0.3435 H
MC 30  -0.0795 H
MC 30  -0.1789 H
MC 30  -0.0423 H
MC 30  -0.1892 H
MC 30  -0.0246 H
MC 30  -0.0957 H
MC 30  -0.0440 H
MC 30  -0.0957 H
MC 30  -0.0047 H
MC 30  -0.1592 H
MC 30  -0.1582 H
MC 30  -0.2572 H
MC 30  -0.1542 H
MC 30  -0.0593 H
RE 30  -0.5791 H
RE 30  -1.1319 H
RE 30  -1.1319 H
RE 30  -1.1937 H
RE 30  -1.5235 H
RE 30  -1.6202 H
RE 30  -0.0083 H
