#identity #similarity #sim%<=thresh #charge #mutcharge #mutcharge/nbpos #mass #mass/refmass #volume #volume/refvolume #ionic #ionic/nbpos #refener
33.33 93.00 0.19 3 21 0.37 7774.84 0.99 5283.84 1.03 11 0.19 -788.53
33.33 92.00 0.16 4 22 0.39 7835.88 1.00 5330.72 1.04 11 0.19 -796.63
33.33 89.00 0.18 4 22 0.39 7813.92 1.00 5344.15 1.04 12 0.21 -785.24
31.58 86.00 0.21 4 24 0.42 7689.73 0.98 5182.45 1.01 10 0.18 -774.67
35.09 105.00 0.18 4 23 0.40 7680.64 0.98 5117.76 1.00 9 0.16 -808.36
31.58 98.00 0.19 3 22 0.39 7609.56 0.97 5052.17 0.98 8 0.14 -788.30
35.09 94.00 0.19 4 22 0.39 7789.85 1.00 5289.94 1.03 12 0.21 -795.80
33.33 82.00 0.19 4 24 0.42 7831.01 1.00 5376.36 1.05 13 0.23 -778.39
33.33 97.00 0.19 4 23 0.40 7638.60 0.98 5077.94 0.99 9 0.16 -785.27
31.58 82.00 0.23 4 24 0.42 7723.75 0.99 5224.18 1.02 11 0.19 -770.76
35.09 109.00 0.18 4 20 0.35 7872.04 1.01 5435.39 1.06 11 0.19 -789.72
33.33 111.00 0.21 3 20 0.35 7693.72 0.98 5184.42 1.01 8 0.14 -769.40
35.09 91.00 0.21 5 23 0.40 7789.85 1.00 5289.79 1.03 12 0.21 -787.50
31.58 85.00 0.19 3 22 0.39 7843.86 1.00 5337.39 1.04 13 0.23 -794.30
35.09 96.00 0.21 3 21 0.37 7786.89 1.00 5316.69 1.03 12 0.21 -788.99
35.09 94.00 0.21 5 23 0.40 7826.88 1.00 5310.85 1.03 11 0.19 -800.48
29.82 79.00 0.21 4 25 0.44 7818.86 1.00 5313.60 1.03 13 0.23 -799.49
31.58 96.00 0.23 3 23 0.40 7672.62 0.98 5115.66 0.99 8 0.14 -795.70
33.33 97.00 0.19 4 24 0.42 7653.61 0.98 5090.14 0.99 9 0.16 -801.76
35.09 90.00 0.19 4 25 0.44 7855.95 1.01 5395.73 1.05 14 0.25 -802.82
35.09 101.00 0.16 4 23 0.40 7706.72 0.99 5170.28 1.01 10 0.18 -798.52
36.84 103.00 0.19 4 24 0.42 7751.76 0.99 5217.01 1.01 12 0.21 -816.40
31.58 85.00 0.18 4 23 0.40 7864.93 1.01 5379.64 1.05 14 0.25 -805.90
33.33 99.00 0.18 4 24 0.42 7698.70 0.99 5168.36 1.01 9 0.16 -806.31
35.09 94.00 0.21 3 21 0.37 7785.86 1.00 5308.82 1.03 12 0.21 -783.45
33.33 87.00 0.19 4 23 0.40 7865.96 1.01 5393.71 1.05 12 0.21 -791.12
31.58 84.00 0.23 3 22 0.39 7767.84 0.99 5295.99 1.03 12 0.21 -778.36
33.33 98.00 0.19 3 22 0.39 7638.55 0.98 5066.59 0.99 9 0.16 -781.15
33.33 92.00 0.19 3 22 0.39 7698.78 0.99 5207.02 1.01 12 0.21 -792.24
33.33 88.00 0.18 3 23 0.40 7786.89 1.00 5316.69 1.03 12 0.21 -786.94
35.09 103.00 0.18 3 20 0.35 7947.11 1.02 5530.48 1.08 13 0.23 -788.15
29.82 82.00 0.21 3 23 0.40 7717.66 0.99 5171.45 1.01 11 0.19 -784.14
33.33 89.00 0.18 5 24 0.42 7901.99 1.01 5418.25 1.05 11 0.19 -798.78
35.09 103.00 0.21 4 21 0.37 7593.60 0.97 5060.89 0.98 9 0.16 -775.28
33.33 87.00 0.16 5 25 0.44 7847.86 1.00 5338.92 1.04 11 0.19 -775.60
31.58 77.00 0.25 4 24 0.42 7744.85 0.99 5279.09 1.03 12 0.21 -767.05
33.33 97.00 0.23 4 24 0.42 7687.63 0.98 5121.77 1.00 9 0.16 -802.97
31.58 79.00 0.19 3 24 0.42 7724.82 0.99 5248.03 1.02 13 0.23 -768.86
31.58 94.00 0.21 3 22 0.39 7689.68 0.98 5186.19 1.01 9 0.16 -770.98
31.58 83.00 0.19 4 24 0.42 7668.72 0.98 5174.49 1.01 11 0.19 -754.62
33.33 94.00 0.19 3 22 0.39 7632.68 0.98 5131.28 1.00 9 0.16 -756.77
31.58 93.00 0.23 4 23 0.40 7925.02 1.01 5466.22 1.06 13 0.23 -788.63
33.33 85.00 0.21 4 24 0.42 7735.72 0.99 5200.52 1.01 11 0.19 -775.90
35.09 104.00 0.19 3 21 0.37 7650.75 0.98 5150.10 1.00 9 0.16 -779.89
33.33 89.00 0.19 3 22 0.39 7688.79 0.98 5218.09 1.01 11 0.19 -764.44
35.09 90.00 0.19 4 23 0.40 7805.95 1.00 5325.78 1.04 13 0.23 -794.89
31.58 91.00 0.23 4 23 0.40 7642.67 0.98 5117.59 1.00 9 0.16 -777.31
35.09 104.00 0.19 3 21 0.37 7907.04 1.01 5473.64 1.06 12 0.21 -787.03
35.09 91.00 0.19 3 22 0.39 7772.86 0.99 5313.31 1.03 13 0.23 -773.30
35.09 92.00 0.21 4 22 0.39 7677.76 0.98 5187.01 1.01 11 0.19 -762.35
33.33 93.00 0.21 3 22 0.39 7722.76 0.99 5233.90 1.02 10 0.18 -782.31
35.09 101.00 0.16 4 24 0.42 7720.71 0.99 5174.60 1.01 10 0.18 -807.42
33.33 89.00 0.16 5 25 0.44 7833.83 1.00 5319.26 1.03 11 0.19 -785.91
35.09 90.00 0.18 4 24 0.42 7785.78 1.00 5260.90 1.02 12 0.21 -779.00
35.09 95.00 0.18 3 24 0.42 7763.77 0.99 5235.21 1.02 12 0.21 -805.61
31.58 73.00 0.19 5 26 0.46 7811.06 1.00 5386.66 1.05 14 0.25 -772.44
36.84 105.00 0.18 3 26 0.46 7747.68 0.99 5174.72 1.01 10 0.18 -806.08
35.09 103.00 0.19 3 21 0.37 7857.03 1.01 5429.28 1.06 12 0.21 -778.35
38.60 102.00 0.19 3 24 0.42 7761.79 0.99 5246.04 1.02 13 0.23 -806.00
33.33 88.00 0.19 5 26 0.46 7707.71 0.99 5166.49 1.00 10 0.18 -782.22
33.33 102.00 0.21 4 23 0.40 7690.76 0.98 5195.31 1.01 8 0.14 -785.96
35.09 97.00 0.19 4 22 0.39 7754.81 0.99 5261.36 1.02 11 0.19 -789.57
36.84 96.00 0.21 4 22 0.39 7766.86 0.99 5290.89 1.03 13 0.23 -785.51
31.58 77.00 0.19 3 25 0.44 7724.82 0.99 5248.03 1.02 13 0.23 -768.86
31.58 94.00 0.19 3 24 0.42 7651.60 0.98 5093.36 0.99 8 0.14 -779.69
31.58 80.00 0.25 3 22 0.39 7689.77 0.98 5216.14 1.01 12 0.21 -757.54
33.33 94.00 0.18 4 23 0.40 7905.98 1.01 5420.78 1.05 10 0.18 -800.56
31.58 94.00 0.21 4 21 0.37 7658.63 0.98 5130.78 1.00 8 0.14 -757.95
31.58 89.00 0.21 4 24 0.42 7693.72 0.98 5180.51 1.01 10 0.18 -777.45
33.33 94.00 0.21 4 23 0.40 7661.72 0.98 5167.97 1.01 9 0.16 -758.16
33.33 91.00 0.23 3 21 0.37 7668.75 0.98 5188.55 1.01 10 0.18 -755.64
35.09 92.00 0.18 4 24 0.42 7771.76 0.99 5241.24 1.02 12 0.21 -789.30
35.09 104.00 0.18 3 20 0.35 7893.06 1.01 5463.10 1.06 13 0.23 -783.42
38.60 106.00 0.19 3 23 0.40 7729.71 0.99 5179.50 1.01 12 0.21 -801.21
31.58 93.00 0.16 3 24 0.42 7729.80 0.99 5230.91 1.02 10 0.18 -793.94
33.33 95.00 0.14 5 25 0.44 7717.87 0.99 5241.76 1.02 10 0.18 -799.09
35.09 94.00 0.18 5 24 0.42 7810.83 1.00 5297.04 1.03 12 0.21 -806.07
33.33 92.00 0.14 2 22 0.39 7797.83 1.00 5293.11 1.03 12 0.21 -788.45
33.33 96.00 0.25 3 24 0.42 7725.72 0.99 5207.31 1.01 10 0.18 -804.01
31.58 84.00 0.19 4 24 0.42 7925.93 1.01 5404.12 1.05 13 0.23 -819.46
33.33 97.00 0.21 3 22 0.39 7634.61 0.98 5096.81 0.99 9 0.16 -772.92
35.09 93.00 0.19 4 22 0.39 7746.83 0.99 5250.53 1.02 12 0.21 -779.42
33.33 96.00 0.18 3 23 0.40 7650.61 0.98 5099.45 0.99 10 0.18 -782.54
33.33 94.00 0.16 5 23 0.40 7862.87 1.01 5345.46 1.04 11 0.19 -808.39
31.58 78.00 0.21 4 23 0.40 7835.97 1.00 5388.17 1.05 13 0.23 -781.27
35.09 91.00 0.16 4 22 0.39 7762.79 0.99 5240.75 1.02 12 0.21 -783.33
33.33 87.00 0.18 3 23 0.40 7726.76 0.99 5218.08 1.01 12 0.21 -762.68
35.09 89.00 0.23 4 23 0.40 7774.98 0.99 5328.39 1.04 13 0.23 -779.14
31.58 73.00 0.19 4 24 0.42 7732.99 0.99 5306.97 1.03 14 0.25 -758.99
35.09 93.00 0.16 4 22 0.39 7748.76 0.99 5221.09 1.02 12 0.21 -793.63
33.33 105.00 0.19 3 20 0.35 7547.48 0.97 4978.67 0.97 7 0.12 -760.45
33.33 89.00 0.18 3 23 0.40 7720.75 0.99 5205.92 1.01 12 0.21 -779.92
33.33 87.00 0.19 2 21 0.37 7776.90 1.00 5319.25 1.03 11 0.19 -791.93
33.33 91.00 0.18 3 23 0.40 7666.74 0.98 5174.42 1.01 12 0.21 -769.91
35.09 91.00 0.21 4 24 0.42 7713.75 0.99 5201.62 1.01 13 0.23 -788.03
