#identity #similarity #sim%<=thresh #charge #mutcharge #mutcharge/nbpos #mass #mass/refmass #volume #volume/refvolume #ionic #ionic/nbpos #refener
31.64 78.21 0.24 1 13 0.28 6027.69 0.99 3897.21 0.99 3 0.07 -651.27
32.72 80.54 0.21 1 13 0.29 6019.61 0.99 3947.83 1.01 3 0.07 -665.83
28.99 67.59 0.25 3 14 0.31 5958.59 0.98 3846.64 0.98 4 0.10 -645.32
32.75 74.03 0.20 -3 15 0.34 6016.33 0.99 3766.92 0.96 4 0.10 -677.58
30.42 66.87 0.23 -3 16 0.35 6106.59 1.00 3954.27 1.01 5 0.12 -703.87
34.95 82.90 0.22 -1 13 0.28 5822.31 0.95 3673.80 0.94 2 0.06 -609.85
34.01 79.44 0.22 -4 12 0.27 5978.33 0.98 3797.70 0.97 3 0.07 -636.71
33.87 81.23 0.20 -2 12 0.26 6013.46 0.99 3885.23 0.99 3 0.07 -638.41
32.30 73.61 0.26 -3 13 0.29 6049.44 0.99 3843.39 0.98 3 0.07 -624.51
34.67 73.10 0.26 -1 12 0.27 6120.76 1.00 4091.96 1.04 4 0.10 -651.69
35.61 82.18 0.22 -5 13 0.29 5874.21 0.96 3712.11 0.95 3 0.07 -624.27
32.51 72.18 0.29 -3 12 0.27 5781.13 0.95 3591.15 0.92 2 0.06 -578.11
31.11 63.28 0.29 4 15 0.33 6296.85 1.03 4052.47 1.03 5 0.12 -669.89
30.35 62.44 0.25 0 13 0.29 6233.73 1.02 4065.21 1.04 4 0.09 -689.16
32.47 80.56 0.21 -5 13 0.28 6326.96 1.04 4199.38 1.07 5 0.11 -685.59
32.68 67.59 0.26 -7 14 0.32 5968.27 0.98 3744.49 0.95 5 0.12 -616.37
32.51 71.98 0.23 -12 15 0.32 6301.52 1.03 4054.43 1.03 6 0.13 -719.11
26.79 58.07 0.28 -3 12 0.27 6109.59 1.00 3883.97 0.99 5 0.12 -649.69
31.74 68.72 0.23 -7 15 0.33 5965.50 0.98 3897.42 0.99 4 0.10 -643.03
