#identity #similarity #sim%<=thresh #charge #mutcharge #mutcharge/nbpos #mass #mass/refmass #volume #volume/refvolume #ionic #ionic/nbpos #refener
22.53 34.00 0.29 3 17 0.38 6465.36 1.06 4400.41 1.12 9 0.19 -654.96
21.35 27.36 0.30 3 19 0.41 6469.35 1.06 4385.06 1.12 10 0.22 -656.29
22.43 34.38 0.28 3 17 0.37 6449.36 1.06 4397.77 1.12 8 0.19 -641.23
22.53 36.77 0.30 3 17 0.38 6325.18 1.04 4236.07 1.08 7 0.16 -630.66
25.01 45.08 0.27 3 18 0.39 6356.15 1.04 4228.22 1.08 7 0.15 -665.46
24.38 44.20 0.29 3 18 0.38 6300.08 1.03 4168.74 1.06 6 0.15 -654.73
22.88 34.52 0.28 3 17 0.38 6465.36 1.06 4400.41 1.12 9 0.19 -652.90
21.70 28.56 0.30 3 18 0.40 6466.45 1.06 4429.98 1.13 9 0.21 -634.38
23.09 41.54 0.29 3 18 0.38 6314.11 1.04 4188.40 1.07 6 0.15 -642.38
22.25 35.08 0.29 3 17 0.36 6359.19 1.04 4277.79 1.09 8 0.17 -626.75
23.93 42.26 0.30 4 17 0.36 6550.51 1.07 4519.10 1.15 9 0.19 -655.68
24.14 47.02 0.29 3 16 0.36 6384.25 1.05 4300.99 1.10 7 0.16 -635.83
22.64 31.64 0.30 4 18 0.39 6465.37 1.06 4400.25 1.12 9 0.19 -644.61
21.03 29.77 0.29 3 18 0.39 6521.39 1.07 4448.38 1.13 9 0.20 -654.21
22.71 30.66 0.28 2 17 0.38 6450.35 1.06 4394.30 1.12 10 0.22 -645.63
22.99 34.02 0.30 4 18 0.40 6502.39 1.07 4421.31 1.13 8 0.18 -657.59
22.95 32.89 0.32 3 18 0.40 6461.29 1.06 4362.68 1.11 8 0.19 -658.10
24.49 42.05 0.31 3 18 0.40 6363.14 1.04 4232.23 1.08 7 0.15 -662.13
25.39 45.11 0.28 3 18 0.38 6329.12 1.04 4200.60 1.07 6 0.15 -658.87
22.01 27.46 0.30 2 18 0.39 6492.34 1.06 4434.36 1.13 11 0.24 -649.68
23.37 41.90 0.27 3 18 0.39 6370.18 1.04 4247.88 1.08 7 0.15 -655.16
24.49 35.20 0.30 2 19 0.42 6400.20 1.05 4288.50 1.09 9 0.21 -663.72
22.67 32.95 0.29 3 18 0.39 6507.36 1.07 4428.72 1.13 9 0.20 -664.51
24.24 42.23 0.27 3 18 0.38 6353.19 1.04 4250.29 1.08 7 0.17 -666.31
22.74 29.66 0.28 2 17 0.38 6449.32 1.06 4386.42 1.12 10 0.22 -640.10
22.60 31.26 0.30 3 18 0.39 6521.39 1.07 4448.38 1.13 9 0.19 -656.25
22.43 31.66 0.31 2 17 0.37 6431.30 1.05 4373.59 1.12 9 0.20 -635.00
23.44 43.66 0.27 2 16 0.36 6314.07 1.04 4177.05 1.07 6 0.15 -638.26
23.93 35.77 0.30 3 17 0.38 6389.31 1.05 4323.59 1.10 9 0.20 -658.67
22.32 32.89 0.29 1 17 0.38 6395.27 1.05 4331.35 1.10 8 0.19 -633.14
23.93 41.44 0.28 2 16 0.35 6570.50 1.08 4551.24 1.16 9 0.20 -643.67
21.83 35.05 0.29 3 17 0.38 6395.19 1.05 4282.43 1.09 8 0.17 -644.05
22.53 33.87 0.31 3 18 0.40 6501.40 1.07 4437.23 1.13 8 0.18 -648.34
24.87 42.61 0.27 3 16 0.36 6269.11 1.03 4171.35 1.06 7 0.16 -632.39
22.25 33.49 0.29 3 18 0.39 6447.27 1.06 4357.90 1.11 8 0.18 -625.17
22.08 27.00 0.32 3 17 0.37 6408.31 1.05 4356.69 1.11 9 0.20 -623.70
24.83 42.57 0.30 3 18 0.40 6363.14 1.04 4232.23 1.08 7 0.15 -660.08
22.50 32.89 0.31 2 16 0.36 6360.26 1.04 4301.64 1.10 9 0.20 -624.86
22.39 37.36 0.28 2 16 0.35 6344.18 1.04 4268.12 1.09 8 0.17 -630.98
22.74 36.66 0.29 2 17 0.37 6269.07 1.03 4166.20 1.06 7 0.15 -609.32
22.67 37.79 0.28 1 16 0.35 6213.04 1.02 4121.95 1.05 7 0.15 -602.32
22.74 37.31 0.33 3 17 0.38 6567.46 1.08 4515.30 1.15 9 0.20 -647.24
22.92 34.69 0.29 3 17 0.36 6411.23 1.05 4310.98 1.10 8 0.17 -633.01
24.24 39.72 0.27 3 17 0.38 6341.28 1.04 4266.66 1.09 8 0.18 -646.32
24.10 35.38 0.29 1 16 0.35 6269.15 1.03 4208.76 1.07 8 0.18 -610.00
22.32 31.80 0.29 3 18 0.40 6481.46 1.06 4436.24 1.13 9 0.21 -652.00
22.71 36.30 0.31 3 18 0.39 6306.13 1.03 4195.20 1.07 7 0.16 -633.95
23.75 40.16 0.29 1 16 0.35 6515.42 1.07 4488.29 1.14 9 0.20 -633.23
22.25 28.11 0.30 2 17 0.37 6427.35 1.05 4395.24 1.12 10 0.22 -633.30
22.85 32.56 0.29 2 16 0.36 6298.19 1.03 4234.52 1.08 8 0.18 -609.02
24.73 40.85 0.29 1 16 0.34 6303.12 1.03 4224.57 1.08 7 0.17 -627.87
24.97 45.25 0.26 2 18 0.39 6341.14 1.04 4222.11 1.08 7 0.15 -654.09
23.89 36.67 0.29 3 18 0.39 6433.24 1.05 4338.24 1.11 8 0.18 -635.47
22.95 34.87 0.28 2 18 0.39 6425.26 1.05 4336.73 1.11 8 0.18 -629.67
22.64 32.56 0.29 2 19 0.41 6439.28 1.06 4345.67 1.11 9 0.20 -662.71
21.76 28.46 0.31 3 18 0.39 6411.41 1.05 4378.37 1.12 9 0.20 -627.13
23.09 34.79 0.31 1 20 0.44 6396.13 1.05 4246.21 1.08 8 0.19 -653.40
23.72 38.89 0.29 1 16 0.35 6465.40 1.06 4443.93 1.13 9 0.20 -624.55
24.24 31.89 0.29 1 19 0.41 6410.24 1.05 4317.53 1.10 10 0.23 -653.32
23.47 39.21 0.29 3 18 0.39 6328.14 1.04 4214.00 1.07 6 0.15 -628.89
22.67 36.85 0.30 4 17 0.38 6381.28 1.05 4311.88 1.10 8 0.18 -652.39
24.24 37.51 0.27 3 17 0.36 6430.32 1.05 4371.82 1.11 8 0.19 -646.68
22.64 28.48 0.30 3 17 0.37 6442.37 1.06 4401.35 1.12 10 0.22 -642.62
22.50 31.16 0.31 2 17 0.38 6360.26 1.04 4301.64 1.10 9 0.20 -624.86
23.16 39.28 0.31 2 18 0.39 6315.05 1.04 4170.96 1.06 6 0.15 -636.33
22.43 28.66 0.32 2 17 0.37 6353.23 1.04 4293.74 1.09 9 0.20 -614.19
21.45 25.07 0.32 2 19 0.41 6503.41 1.07 4440.49 1.13 10 0.22 -653.79
23.06 39.21 0.31 3 17 0.36 6294.08 1.03 4184.40 1.07 7 0.15 -613.94
24.28 35.89 0.33 3 18 0.39 6357.18 1.04 4258.12 1.09 8 0.17 -634.09
22.74 37.38 0.29 1 16 0.35 6219.05 1.02 4129.59 1.05 7 0.16 -602.89
22.57 31.62 0.31 2 16 0.36 6304.20 1.03 4242.16 1.08 8 0.18 -611.63
24.59 38.05 0.28 2 18 0.39 6411.23 1.05 4317.07 1.10 8 0.18 -639.98
22.81 31.87 0.29 3 17 0.37 6537.52 1.07 4513.63 1.15 11 0.24 -642.51
24.66 36.13 0.28 1 18 0.39 6378.15 1.05 4250.99 1.08 9 0.21 -648.53
22.92 42.41 0.28 2 17 0.37 6372.23 1.04 4279.99 1.09 6 0.14 -652.55
23.06 39.77 0.28 3 18 0.40 6318.22 1.04 4233.47 1.08 7 0.16 -653.79
24.03 36.57 0.27 3 17 0.38 6450.31 1.06 4372.87 1.12 9 0.19 -656.74
21.76 28.93 0.29 2 18 0.40 6442.29 1.06 4343.64 1.11 10 0.21 -647.55
25.15 38.92 0.30 2 18 0.39 6389.18 1.05 4284.91 1.09 9 0.19 -660.65
21.70 25.03 0.32 4 19 0.42 6545.42 1.07 4456.35 1.14 10 0.23 -670.25
22.95 36.67 0.28 2 17 0.38 6298.07 1.03 4174.42 1.06 8 0.18 -629.57
22.22 32.34 0.32 3 18 0.39 6424.31 1.05 4350.16 1.11 8 0.19 -636.14
23.44 42.97 0.28 1 17 0.38 6315.05 1.04 4173.58 1.06 6 0.15 -641.53
22.81 29.92 0.29 3 18 0.40 6460.30 1.06 4365.17 1.11 10 0.22 -661.62
22.78 32.07 0.31 2 16 0.36 6444.34 1.06 4402.82 1.12 9 0.19 -627.47
22.85 37.02 0.27 2 17 0.37 6383.22 1.05 4288.26 1.09 8 0.18 -630.00
22.29 33.51 0.30 2 17 0.37 6362.20 1.04 4271.69 1.09 8 0.19 -618.67
22.08 26.25 0.30 3 18 0.40 6438.44 1.06 4405.99 1.12 11 0.24 -635.78
22.01 29.46 0.31 3 17 0.38 6356.38 1.04 4327.73 1.10 9 0.20 -614.51
24.49 40.20 0.26 2 17 0.37 6369.19 1.04 4268.60 1.09 8 0.18 -640.30
22.99 41.69 0.28 3 16 0.36 6238.01 1.02 4095.24 1.04 6 0.15 -626.88
23.23 37.38 0.29 1 17 0.38 6385.19 1.05 4280.04 1.09 8 0.17 -638.91
22.53 33.77 0.30 1 16 0.36 6412.34 1.05 4372.87 1.12 7 0.17 -647.92
22.29 36.25 0.29 2 17 0.37 6302.18 1.03 4228.04 1.08 8 0.18 -625.90
23.96 33.30 0.31 3 18 0.39 6389.27 1.05 4312.08 1.10 9 0.20 -645.13
25.67 48.23 0.30 4 17 0.36 6491.36 1.06 4403.67 1.12 8 0.18 -668.74
21.52 23.23 0.31 3 18 0.40 6550.43 1.07 4479.09 1.14 10 0.23 -657.96
22.43 31.38 0.28 2 18 0.39 6450.31 1.06 4382.79 1.12 8 0.19 -630.05
22.29 33.33 0.30 4 18 0.39 6462.28 1.06 4364.01 1.11 8 0.18 -636.54
24.45 43.11 0.30 1 17 0.38 6362.11 1.04 4236.80 1.08 6 0.15 -646.72
